x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
100.8017583743181 6443.773392773321 -7663.854732964297 0.3255041429874086 0.1779708624780874 -0.351156992517616 1.8720502158899992e+21 0.9987235923249147 0.09886141402695614 
-6219332.9885 1557042.3206 16361685.851 -155.1918894 20.231638573 389.35932098 3.799289e+16 2.0268898378e-05 1.0 
-11866312.185 5208633.541 7122884.7352 -279.25488656 101.4165013 161.55255412 3.798797e+16 2.0266273598e-05 1.0 
19108869.303 -14931308.118 3963905.4185 469.00351925 -388.27758097 98.790460095 3.798554e+16 2.0264977213e-05 1.0 
3795422.0104 -8574318.9291 -1052521.9756 39.643677021 -171.28672057 -15.189892688 3.798554e+16 2.0264977213e-05 1.0 
3650009.0256 -7662359.1569 9076580.7622 63.012610657 -184.26574992 187.82944626 3.798432e+16 2.0264326352e-05 1.0 
3307320.2875 -7484460.8789 4770228.6708 35.669795553 -155.18830551 77.930838759 3.798432e+16 2.0264326352e-05 1.0 
6426910.3751 -8680428.9128 296142.23363 106.81290944 -191.65126897 3.1574790008 3.798432e+16 2.0264326352e-05 1.0 
5901113.7367 -9978439.1912 -4398971.0909 107.05363418 -231.85268196 -89.37494886 3.798432e+16 2.0264326352e-05 1.0 
1840543.9813 -6478805.529 -6621342.935 14.065165425 -138.65965419 -106.96247307 3.798191e+16 2.0263040637e-05 1.0 
-12073348.409 7612975.3293 -10919713.427 -296.10668381 167.7775157 -261.01391152 3.798071e+16 2.0262400447e-05 1.0 
10606707.998 -10674480.725 11751916.22 246.59542129 -274.94110666 281.99680244 3.797951e+16 2.0261760256e-05 1.0 
9984394.4149 -12021818.855 10224509.263 228.65728603 -306.49583488 244.60180617 3.797951e+16 2.0261760256e-05 1.0 
7913197.8465 -8308047.9629 15175765.498 183.05383492 -217.66597368 364.31601826 3.797891e+16 2.0261440161e-05 1.0 
16446763.999 -11045310.34 -15043164.758 404.13892714 -290.86148419 -375.27284624 3.797891e+16 2.0261440161e-05 1.0 
29324193.993 -16401445.185 -10798357.116 743.82644615 -432.32041103 -276.57064186 3.797831e+16 2.0261120066e-05 1.0 
-14629638.378 6162816.8625 -5742283.4871 -351.97639357 128.56833205 -136.65687419 3.797831e+16 2.0261120066e-05 1.0 
-13169246.474 4961601.0269 -12243780.909 -323.31648052 103.03693707 -295.36251637 3.797831e+16 2.0261120066e-05 1.0 
5451382.5522 -8764855.9574 18907950.661 126.65714195 -233.85703539 463.03307061 3.797808e+16 2.0260997363e-05 1.0 
-10035189.072 3386292.6317 12612909.213 -243.54437008 61.704227703 295.53965585 3.797808e+16 2.0260997363e-05 1.0 
2117899.7424 -8821415.0616 4682595.6253 16.28568548 -190.26213564 75.551928833 3.797808e+16 2.0260997363e-05 1.0 
16707476.174 -9087288.8735 38893099.939 425.22361023 -247.09515943 1001.5696429 3.797808e+16 2.0260997363e-05 1.0 
12215642.843 -13689954.857 3972809.1559 281.50780057 -347.81374195 94.657445578 3.797808e+16 2.0260997363e-05 1.0 
12459474.509 -13054440.321 -819717.25209 285.28882574 -330.25563623 -18.920890601 3.797808e+16 2.0260997363e-05 1.0 
3714035.7144 -8351422.9124 -823027.96192 35.481009096 -166.20005881 -9.3977180626 3.797808e+16 2.0260997363e-05 1.0 
4157340.0279 -3335887.9703 27287878.276 100.57682103 -98.701488195 688.41223615 3.797772e+16 2.0260805306e-05 1.0 
-128417.84227 -7142013.7601 9960603.9323 -15.256770847 -176.29510471 201.16101911 3.797745e+16 2.0260661263e-05 1.0 
2435743.8789 -6873625.4585 -16496228.503 49.738610451 -182.52862177 -391.74439773 3.797745e+16 2.0260661263e-05 1.0 
6345673.4499 -11249968.372 19746450.329 149.1389241 -296.98463164 488.83811044 3.797682e+16 2.0260325163e-05 1.0 
-9871718.816 2545003.0498 11997933.446 -236.11692232 39.999616824 278.57471868 3.797682e+16 2.0260325163e-05 1.0 
25783792.408 -13527546.266 -2489191.9264 646.55192489 -356.41865214 -63.928844448 3.797682e+16 2.0260325163e-05 1.0 
-1619416.2096 -1071594.9171 18399368.681 -46.196019428 -42.224409944 441.9387322 3.797653e+16 2.0260170451e-05 1.0 
6683265.7789 -9551310.3597 -1165576.9984 118.81975616 -216.85288105 -21.935896309 3.797653e+16 2.0260170451e-05 1.0 
12713091.433 -10541477.258 25047175.262 315.0308976 -281.4067014 635.28334356 3.797593e+16 2.0259850356e-05 1.0 
8323346.4502 -10228054.812 3471087.7569 168.73664456 -245.64489959 73.833064773 3.797593e+16 2.0259850356e-05 1.0 
13961683.032 -12547849.735 -11771499.249 335.66726726 -325.78397766 -289.57214881 3.797593e+16 2.0259850356e-05 1.0 
18849696.58 -16479710.682 25962465.214 475.12031942 -436.36197683 664.57242832 3.797558e+16 2.0259663633e-05 1.0 
-22307090.943 14593702.474 8485711.0924 -569.65729716 356.11965692 215.08356846 3.797558e+16 2.0259663633e-05 1.0 
17458588.697 -16076672.72 9688686.9203 429.10156697 -419.52813952 240.83155336 3.797558e+16 2.0259663633e-05 1.0 
6613289.3204 -9707668.3515 7346338.3914 132.68746775 -236.92055699 158.92129898 3.797558e+16 2.0259663633e-05 1.0 
39576887.885 -26512115.109 7169174.9505 1015.6655574 -698.36648793 183.53593865 3.797558e+16 2.0259663633e-05 1.0 
-16695333.935 9498425.1286 -6206917.7625 -414.85660843 217.5663749 -150.86881409 3.797558e+16 2.0259663633e-05 1.0 
9176688.2622 -12859961.291 -3507860.1111 198.10358123 -319.05119354 -80.350611614 3.797558e+16 2.0259663633e-05 1.0 
-8717177.0509 2538519.1934 2312354.7633 -164.30434528 18.087429938 38.377918904 3.797497e+16 2.0259338203e-05 1.0 
20569886.311 -15870490.501 5106957.676 508.43575301 -414.52737226 128.8669827 3.797497e+16 2.0259338203e-05 1.0 
-11559045.635 5418689.4439 -33217441.197 -300.98629557 125.31587279 -850.84819424 3.797497e+16 2.0259338203e-05 1.0 
3955151.1392 -6674843.8877 -5546613.8676 53.274480642 -143.08710444 -90.739680552 3.797475e+16 2.0259220835e-05 1.0 
5852042.6072 -4654883.2068 -23040086.73 140.83628158 -131.40010834 -573.90869106 3.797475e+16 2.0259220835e-05 1.0 
-5671198.0457 -1130970.6438 10917515.083 -132.32356512 -44.464021084 226.82255753 3.797357e+16 2.0258591315e-05 1.0 
-15741541.986 8923667.2852 563613.34308 -384.53075555 198.8918211 13.492625667 3.797357e+16 2.0258591315e-05 1.0 
-2967945.0288 -919448.43369 -26776111.076 -81.018132852 -37.406784337 -674.19085969 3.797298e+16 2.0258276555e-05 1.0 
8794880.5704 -6261190.0502 -24188569.105 215.42237126 -171.79323308 -607.24740985 3.797298e+16 2.0258276555e-05 1.0 
17008585.649 -13799366.023 32214897.542 430.17032201 -368.12196383 826.59400884 3.797196e+16 2.0257732393e-05 1.0 
6744876.8706 -10229048.778 4014965.3514 127.33880621 -242.7770109 83.397158654 3.797196e+16 2.0257732393e-05 1.0 
-14641463.984 1044720.5076 -8285738.8912 -351.92370566 3.3965796535 -193.74131179 3.797196e+16 2.0257732393e-05 1.0 
33633589.398 -17208116.375 16818543.73 859.46280653 -455.62505912 432.70129471 3.797196e+16 2.0257732393e-05 1.0 
8130185.8139 -13484677.312 -3269911.3052 172.69775041 -332.85234506 -72.400374654 3.797196e+16 2.0257732393e-05 1.0 
2041248.3956 -6021102.3693 -13470726.719 38.462022718 -159.21012641 -303.20407172 3.797196e+16 2.0257732393e-05 1.0 
20907305.418 -17402009.076 -14314566.154 523.39006279 -457.16193047 -362.46220231 3.797196e+16 2.0257732393e-05 1.0 
10938155.457 -9552916.5085 -22827487.622 269.04286271 -255.72209557 -573.81688208 3.797196e+16 2.0257732393e-05 1.0 
3362846.9135 -9901916.6691 -10653186.983 65.407201112 -248.03548035 -235.23877953 3.797196e+16 2.0257732393e-05 1.0 
3019438.342 -5089641.4515 33016962.463 71.210377556 -143.98221931 842.34684737 3.79718e+16 2.0257647034e-05 1.0 
9783199.0645 -10221844.196 -7069812.0451 214.46626146 -254.45201177 -162.48142942 3.79718e+16 2.0257647034e-05 1.0 
-12495918.385 8448038.7859 21618521.867 -320.05720431 199.32926991 543.89805297 3.797122e+16 2.0257337609e-05 1.0 
